Watching for file changes with StatReloader
/home/wolf/Projekte/dev/venv/tourguidecambodia/tourguidecambodia/urls.py changed, reloading.
Watching for file changes with StatReloader
Watching for file changes with StatReloader
"GET / HTTP/1.1" 200 13252
"GET /media/images/AnkgorWat_panorama_dark.width-1368.width-1368.jpg HTTP/1.1" 304 0
"GET /static/bulma/css/style.css.map HTTP/1.1" 304 0
Watching for file changes with StatReloader
"GET / HTTP/1.1" 200 13252
"GET /media/images/AnkgorWat_panorama_dark.width-1368.width-1368.jpg HTTP/1.1" 304 0
"GET /static/bulma/css/style.css.map HTTP/1.1" 304 0
Not Found: /tours/
"GET /tours/ HTTP/1.1" 404 1693
"GET /ADMIN HTTP/1.1" 301 0
Not Found: /ADMIN/
"GET /ADMIN/ HTTP/1.1" 404 1693
"GET /admin/ HTTP/1.1" 200 19471
"GET /admin/sprite-e90a3071/ HTTP/1.1" 200 88394
"GET /admin/api/main/pages/?child_of=1&for_explorer=1&fields=parent HTTP/1.1" 200 1510
"GET /admin/pages/3/edit/ HTTP/1.1" 200 48124
"GET /media/images/AnkgorWat_panorama_dark.width-1368.max-165x165.jpg HTTP/1.1" 304 0
"GET /media/images/Battambang_shrine.max-165x165.max-165x165.jpg HTTP/1.1" 304 0
"GET /media/images/P1020085.2e16d0ba.fill-400x320.max-165x165.jpg HTTP/1.1" 304 0
"GET /admin/api/main/pages/?child_of=1&for_explorer=1&fields=parent HTTP/1.1" 200 1510
"GET /admin/pages/3/ HTTP/1.1" 200 21731
"GET /admin/pages/3/add_subpage/ HTTP/1.1" 200 23170
"GET /admin/pages/add/ourteam/ourteampage/3/ HTTP/1.1" 200 74053
"GET /static/wagtailadmin/css/panels/streamfield.css HTTP/1.1" 200 6663
"GET /static/wagtailembeds/js/embed-chooser-modal.js?v=b7056808 HTTP/1.1" 200 697
"GET /static/wagtaildocs/js/document-chooser-modal.js?v=b7056808 HTTP/1.1" 200 3908
"GET /static/wagtailadmin/js/blocks/struct.js?v=b7056808 HTTP/1.1" 200 1225
"GET /static/wagtailadmin/js/blocks/sequence.js?v=b7056808 HTTP/1.1" 200 5250
"GET /static/wagtailadmin/js/blocks/stream.js?v=b7056808 HTTP/1.1" 200 4042
"GET /static/wagtailadmin/js/blocks/list.js?v=b7056808 HTTP/1.1" 200 2196
"GET /admin/sprite-e90a3071/ HTTP/1.1" 200 88394
"GET /static/wagtailadmin/fonts/robotoslab-bold.woff2 HTTP/1.1" 200 89548
"GET /admin/images/chooser/ HTTP/1.1" 200 8233
